coaster_name,Length,Speed,Location,Status,Type,Manufacturer,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,year_introduced,latitude,longitude,Type_Main,Opening Date
Coney Island Cyclone,"2,640 ft (800 m)",60 mph (97 km/h),"Luna Park, Coney Island",Operating,Other,,,85 ft (26 m),0.0,Chain-lift,"$175,000",,,2:30,1440 riders per hour,3.75,Vernon Keenan,58.1°,,,,Giant Racer,Compact Twister,,,,,,,,,,,,,,,1927,40.5742,-73.9778,Other,1927-06-26
Crystal Beach Cyclone,"2,953 ft (900 m)",60 mph (97 km/h),Crystal Beach Park,Removed,Wood,Traver Engineering,,96 ft (29 m),,Chain-lift,"$176,000 CDN",,Cyclone Bay,1:10,85 riders per hour,4 Gs,Harry G. Traver,59°,90 ft (27 m),,,,Twister,,,"September 2, 1946",,,,,,,,,,,,1927,42.8617,-79.0598,Wood,1926-01-01
Cyclone (Palisades Amusement Park),,,Palisades Amusement Park,Removed,Wood,Traver Engineering,Giant Cyclone Safety Coaster,,,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,,,,,Harry G. Traver,,,,,,,,,1934,,,,,,,,,,,,1927,40.8281,-73.9778,Wood,1927-09-10
Lightning (Revere Beach),,,Revere Beach,Removed,Wood,Traver Engineering,Giant Cyclone Safety Coaster,,0.0,,,,,,,,Harry G. Traver,,,,,,,,,1933,,,,,,,,,,,,1927,42.42,-70.986,Wood,1927-07-02
Racer (Kennywood),"4,500 ft (1,400 m)",40 mph (64 km/h),Kennywood,Operating,Wood – Racing,Charlie Mach,Racing,72.5 ft (22.1 m),0.0,Chain lift,"$75,000",4 trains with 4 cars. Riders are arranged 2 across in 3 rows for a total of 24 riders per train.,,1:32,1400 riders per hour,,John A. Miller,,50 ft (15 m),,,,Möbius Loop,,,,,,,,,,,,,,,1927,40.3869,-79.8619,Wood,1927-01-01
Wildcat (Lake Compounce),"2,746 ft (837 m)",48 mph (77 km/h),Lake Compounce,Operating,Wood – Out and back,Philadelphia Toboggan Coasters,,85 ft (26 m),0.0,Chain Lift Hill,,2 trains with 7 cars. Riders are arranged 2 across in a single row for a total of 14 riders per train.,,1:15,,,Herbert Paul Schmeck and Dinn Corporation,,78 ft (24 m),,,Green Dragon,,,,,,,,,,,,,,,,1927,41.6408,-72.9231,Wood,1927-01-01
Zip (roller coaster),"2,500 ft (760 m)",,Oaks Amusement Park,Removed,Wood,Traver Engineering,,60 ft (18 m),,,,Single train with 5 cars. Riders are arranged 2 across in a single row for a total of 10 riders per train.,,between 1 minute 20 seconds and 1 minute 30 seconds,,,Harry G. Traver,,,,,,,,,1934,,,,,,,,,,,,1927,45.473,-122.6606,Wood,1927-01-01
Airplane Coaster,"3,500 ft (1,100 m)",40 mph (64 km/h),Playland,Removed,Wood,Frank W. Darling,,92 ft (28 m),,,"$200,000",10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,,,,,Frederick Church,,,,,,,,,November 1957,,,,,,,,,,,,1928,40.9658,-73.6739,Wood,1928-05-26
Montaña Suiza,"1,312.3 ft (400.0 m)",31 mph (50 km/h),Monte Igueldo Amusement Park,Operating,Other,,,32 ft (9.8 m),0.0,Cable-lift,,,,1:30,,,Erich Heidrich,,,,,,Terrain,,,,,,,,,,,,,,,1928,43.3207,-2.0107,Other,1928-01-01
Dragon Coaster (Playland),"1,036 m (3,399 ft)",,Playland,Operating,Wood,,,24 m (79 ft),,Chain lift,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,1:40,,,Frederick Church,,23 m (75 ft),,,,Out & back,,,,,,,,,,,,,,,1929,40.9675,-73.6739,Wood,1929-01-01
Flying Turns (Euclid Beach Park),,,"Cleveland, Ohio, United States",Closed,Other,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,1930,41.58,-81.57,Other,
Yankee Cannonball,"609.6 m (2,000 ft)",56.3 km/h (35.0 mph),Canobie Lake Park,Operating,Wood – Out and back,Philadelphia Toboggan Coasters,,19.8 m (65 ft),,Chainlift,,,,,,,Herbert Paul Schmeck,,19.4 m (64 ft),,,,,,,,,,,,,,,,,,,1930,42.7953,-71.2492,Wood,1930-01-01
Roller Coaster (Great Yarmouth Pleasure Beach),"3,223.10 ft (982.40 m)",45 mph (72 km/h),Great Yarmouth Pleasure Beach,Operating,Wood,,,70 ft (21 m),0.0,Chain lift hill,,,,3:10,600 riders per hour,,Erich Heidrich,35°,51 ft (16 m),,,,Triple out and back,,,,,,,,,,,,,,,1932,52.5928,1.7361,Wood,1932-05-01
Nickelodeon Streak,"2,293 ft (699 m)",35 mph (56 km/h),Blackpool Pleasure Beach,Operating,Wood – Out and back,,,61 ft (19 m),0.0,Chain,,Single train with 3 cars. Riders are arranged 2 across in 4 rows for a total of 24 riders per train.,Nickelodeon Land,1:44,,3,Charles Paige,,,,,,,,,,,,,,,,,,,,,1933,53.7908,-3.0544,Wood,1933-01-01
Zipper Dipper,,,Blackpool Pleasure Beach,Operating,Other,,,15 ft (4.6 m),0.0,,,Single train with 5 cars. Riders are arranged 2 across in 2 rows for a total of 20 riders per train.,Nickelodeon Land,1:00,,,Charlie Paige,,,,,,,,,,,,,,,,,,,,,1934,53.7902,-3.0539,Other,1934-01-01
